Time stamp(ms),Ax,Ay,Az,Gx,Gy,Gz,pitch,roll
6282,-0.0922,-0.0493,0.9677,7.6293,-4.4555,0.7324,-3.036177346,-2.363335429
6282,-0.0903,-0.0488,0.9687,7.2021,-3.8452,0.7324,-3.031161721,-2.368323673
6282,-0.0874,-0.0473,0.9697,6.1645,-3.1127,0.7934,-3.03063498,-2.368896038
6285,-0.0859,-0.0502,0.9692,5.31,-2.5634,0.7934,-2.993158262,-2.406418395
6285,-0.0888,-0.0463,0.9702,5.9814,-2.9907,0.7934,-3.048350956,-2.351189199
6285,-0.0878,-0.0478,0.9667,6.7138,-3.601,0.8544,-3.027694598,-2.371827298
6292,-0.0864,-0.0458,0.9697,7.08,-3.9672,0.8544,-3.040379546,-2.359142351
6292,-0.0844,-0.0458,0.9682,7.9345,-4.6386,0.6103,-3.029073436,-2.37042108
6292,-0.0908,-0.0454,0.9677,8.85,-5.5541,-0.4272,-3.067368406,-2.332126111
6295,-0.0839,-0.0429,0.9716,10.3149,-6.5917,0.122,-3.056816291,-2.342614328
6295,-0.0732,-0.038,0.9755,9.6435,-6.3476,0.5493,-3.049851107,-2.34964341
6295,-0.0878,-0.0454,0.9663,9.1552,-5.1879,-0.1831,-3.051768344,-2.347625774
6302,-0.0878,-0.0405,0.9687,6.8969,-3.54,0.6103,-3.103706913,-2.295778482
6302,-0.1025,-0.0463,0.9477,5.6152,-2.6245,1.1596,-3.112972199,-2.286567956
6302,-0.0834,-0.0346,0.9746,8.2397,-3.8452,0.9155,-3.148120442,-2.251209794
6305,-0.0883,-0.0463,0.9628,3.4179,-1.0986,1.0986,-3.046077451,-2.353563102
6305,-0.0805,-0.0341,0.9697,3.7841,-0.7324,0.7324,-3.140274067,-2.259256966
6305,-0.0756,-0.0332,0.9736,3.9062,-0.6713,0.7934,-3.125231677,-2.274271961
6312,-0.0771,-0.0366,0.9697,2.9296,-0.3662,0.7934,-3.091673206,-2.307930845
6312,-0.0781,-0.0351,0.9702,2.9296,-0.1831,0.7934,-3.115548916,-2.284027755
6312,-0.0805,-0.0371,0.9711,2.5634,-0.122,0.8544,-3.104738661,-2.294883634
6315,-0.0781,-0.038,0.9702,2.6245,0,0.8544,-3.080690297,-2.318904618
6315,-0.0781,-0.0341,0.9692,2.5024,0,0.8544,-3.127877875,-2.271735298
6315,-0.0771,-0.0351,0.9692,2.5634,0.122,0.8544,-3.110058613,-2.289527195
6322,-0.0786,-0.0375,0.9692,2.3193,0.1831,0.8544,-3.089530479,-2.310082694
6322,-0.0791,-0.0361,0.9697,2.3193,0.061,0.9155,-3.109021656,-2.290609776
6322,-0.0791,-0.0351,0.9658,2.3193,0.3051,0.7324,-3.121068351,-2.278526579
6325,-0.0776,-0.0361,0.9692,2.2583,0.3051,0.8544,-3.100692247,-2.298911804
6325,-0.0761,-0.0366,0.9702,2.3193,0.3051,0.9155,-3.085945014,-2.313649916
6325,-0.0781,-0.0375,0.9687,2.2583,0.3051,0.7934,-3.086691877,-2.312912175
6332,-0.0761,-0.0375,0.9687,2.0751,0.3051,0.9155,-3.075026148,-2.324605299
6332,-0.0766,-0.0366,0.9677,2.2583,0.4272,0.8544,-3.088879326,-2.310706468
6332,-0.0751,-0.0336,0.9731,2.1362,0.3662,0.7934,-3.117595122,-2.282018051
6335,-0.0756,-0.0346,0.9682,2.2583,0.3051,0.7934,-3.107810207,-2.291793844
6335,-0.0756,-0.0351,0.9677,2.2583,0.4272,0.8544,-3.101559673,-2.29802612
6335,-0.0761,-0.0341,0.9697,2.1362,0.4272,0.7934,-3.116935388,-2.282668664
6342,-0.0766,-0.0351,0.9682,1.9531,0.4882,0.8544,-3.107332405,-2.292289905
6342,-0.0751,-0.0351,0.9672,2.1972,0.4272,0.7934,-3.098658248,-2.300936682
6342,-0.0766,-0.0356,0.9687,2.0141,0.4272,0.8544,-3.101156738,-2.298465572
6345,-0.0737,-0.0341,0.9707,2.1972,0.4272,0.7934,-3.10307725,-2.29651768
6345,-0.0781,-0.0346,0.9711,2.0141,0.4272,0.7934,-3.121803816,-2.277818494
6345,-0.0761,-0.0346,0.9687,2.1362,0.4272,0.7324,-3.110680745,-2.288923307
